Atlético Mineiro / MG vs. Fluminense / RJ
Atlético Mineiro / MG vs. São Paulo / SP
Atlético Mineiro / MG vs. Palmeiras / SP
Atlético Mineiro / MG vs. Botafogo / RJ
Atlético Mineiro / MG vs. Juventude / RS
Atlético Mineiro / MG vs. Fortaleza / CE
Atlético Mineiro / MG vs. Atlético / GO
Atlético Mineiro / MG vs. Avaí / SC
Atlético Mineiro / MG vs. Coritiba / PR
Atlético Mineiro / MG vs. América / MG
Atlético Mineiro / MG vs. Flamengo / RJ
Atlético Mineiro / MG vs. Red Bull Bragantino / SP
Atlético Mineiro / MG vs. Corinthians / SP
Atlético Mineiro / MG vs. Santos / SP
Atlético Mineiro / MG vs. Internacional / RS
Atlético Mineiro / MG vs. Ceará / CE
Atlético Mineiro / MG vs. Goiás / GO
Atlético Mineiro / MG vs. Cuiabá / MT
Atlético Mineiro / MG vs. Athletico Paranaense / PR
Fluminense / RJ vs. Atlético Mineiro / MG
Fluminense / RJ vs. São Paulo / SP
Fluminense / RJ vs. Palmeiras / SP
Fluminense / RJ vs. Botafogo / RJ
Fluminense / RJ vs. Juventude / RS
Fluminense / RJ vs. Fortaleza / CE
Fluminense / RJ vs. Atlético / GO
Fluminense / RJ vs. Avaí / SC
Fluminense / RJ vs. Coritiba / PR
Fluminense / RJ vs. América / MG
Fluminense / RJ vs. Flamengo / RJ
Fluminense / RJ vs. Red Bull Bragantino / SP
Fluminense / RJ vs. Corinthians / SP
Fluminense / RJ vs. Santos / SP
Fluminense / RJ vs. Internacional / RS
Fluminense / RJ vs. Ceará / CE
Fluminense / RJ vs. Goiás / GO
Fluminense / RJ vs. Cuiabá / MT
Fluminense / RJ vs. Athletico Paranaense / PR
São Paulo / SP vs. Atlético Mineiro / MG
São Paulo / SP vs. Fluminense / RJ
São Paulo / SP vs. Palmeiras / SP
São Paulo / SP vs. Botafogo / RJ
São Paulo / SP vs. Juventude / RS
São Paulo / SP vs. Fortaleza / CE
São Paulo / SP vs. Atlético / GO
São Paulo / SP vs. Avaí / SC
São Paulo / SP vs. Coritiba / PR
São Paulo / SP vs. América / MG
São Paulo / SP vs. Flamengo / RJ
São Paulo / SP vs. Red Bull Bragantino / SP
São Paulo / SP vs. Corinthians / SP
São Paulo / SP vs. Santos / SP
São Paulo / SP vs. Internacional / RS
São Paulo / SP vs. Ceará / CE
São Paulo / SP vs. Goiás / GO
São Paulo / SP vs. Cuiabá / MT
São Paulo / SP vs. Athletico Paranaense / PR
Palmeiras / SP vs. Atlético Mineiro / MG
Palmeiras / SP vs. Fluminense / RJ
Palmeiras / SP vs. São Paulo / SP
Palmeiras / SP vs. Botafogo / RJ
Palmeiras / SP vs. Juventude / RS
Palmeiras / SP vs. Fortaleza / CE
Palmeiras / SP vs. Atlético / GO
Palmeiras / SP vs. Avaí / SC
Palmeiras / SP vs. Coritiba / PR
Palmeiras / SP vs. América / MG
Palmeiras / SP vs. Flamengo / RJ
Palmeiras / SP vs. Red Bull Bragantino / SP
Palmeiras / SP vs. Corinthians / SP
Palmeiras / SP vs. Santos / SP
Palmeiras / SP vs. Internacional / RS
Palmeiras / SP vs. Ceará / CE
Palmeiras / SP vs. Goiás / GO
Palmeiras / SP vs. Cuiabá / MT
Palmeiras / SP vs. Athletico Paranaense / PR
Botafogo / RJ vs. Atlético Mineiro / MG
Botafogo / RJ vs. Fluminense / RJ
Botafogo / RJ vs. São Paulo / SP
Botafogo / RJ vs. Palmeiras / SP
Botafogo / RJ vs. Juventude / RS
Botafogo / RJ vs. Fortaleza / CE
Botafogo / RJ vs. Atlético / GO
Botafogo / RJ vs. Avaí / SC
Botafogo / RJ vs. Coritiba / PR
Botafogo / RJ vs. América / MG
Botafogo / RJ vs. Flamengo / RJ
Botafogo / RJ vs. Red Bull Bragantino / SP
Botafogo / RJ vs. Corinthians / SP
Botafogo / RJ vs. Santos / SP
Botafogo / RJ vs. Internacional / RS
Botafogo / RJ vs. Ceará / CE
Botafogo / RJ vs. Goiás / GO
Botafogo / RJ vs. Cuiabá / MT
Botafogo / RJ vs. Athletico Paranaense / PR
Juventude / RS vs. Atlético Mineiro / MG
Juventude / RS vs. Fluminense / RJ
Juventude / RS vs. São Paulo / SP
Juventude / RS vs. Palmeiras / SP
Juventude / RS vs. Botafogo / RJ
Juventude / RS vs. Fortaleza / CE
Juventude / RS vs. Atlético / GO
Juventude / RS vs. Avaí / SC
Juventude / RS vs. Coritiba / PR
Juventude / RS vs. América / MG
Juventude / RS vs. Flamengo / RJ
Juventude / RS vs. Red Bull Bragantino / SP
Juventude / RS vs. Corinthians / SP
Juventude / RS vs. Santos / SP
Juventude / RS vs. Internacional / RS
Juventude / RS vs. Ceará / CE
Juventude / RS vs. Goiás / GO
Juventude / RS vs. Cuiabá / MT
Juventude / RS vs. Athletico Paranaense / PR
Fortaleza / CE vs. Atlético Mineiro / MG
Fortaleza / CE vs. Fluminense / RJ
Fortaleza / CE vs. São Paulo / SP
Fortaleza / CE vs. Palmeiras / SP
Fortaleza / CE vs. Botafogo / RJ
Fortaleza / CE vs. Juventude / RS
Fortaleza / CE vs. Atlético / GO
Fortaleza / CE vs. Avaí / SC
Fortaleza / CE vs. Coritiba / PR
Fortaleza / CE vs. América / MG
Fortaleza / CE vs. Flamengo / RJ
Fortaleza / CE vs. Red Bull Bragantino / SP
Fortaleza / CE vs. Corinthians / SP
Fortaleza / CE vs. Santos / SP
Fortaleza / CE vs. Internacional / RS
Fortaleza / CE vs. Ceará / CE
Fortaleza / CE vs. Goiás / GO
Fortaleza / CE vs. Cuiabá / MT
Fortaleza / CE vs. Athletico Paranaense / PR
Atlético / GO vs. Atlético Mineiro / MG
Atlético / GO vs. Fluminense / RJ
Atlético / GO vs. São Paulo / SP
Atlético / GO vs. Palmeiras / SP
Atlético / GO vs. Botafogo / RJ
