Oeste / SP vs. Boa / MG
Oeste / SP vs. Figueirense / SC
Oeste / SP vs. Joinville / SC
Oeste / SP vs. Icasa / CE
Oeste / SP vs. ABC / RN
Oeste / SP vs. Palmeiras / SP
Oeste / SP vs. São Caetano / SP
Oeste / SP vs. Guaratinguetá / SP
Oeste / SP vs. Paysandu / PA
Oeste / SP vs. ASA / AL
Oeste / SP vs. América / MG
Oeste / SP vs. Avaí / SC
Oeste / SP vs. Chapecoense / SC
Oeste / SP vs. Ceará / CE
Oeste / SP vs. América / RN
Oeste / SP vs. Paraná / PR
Oeste / SP vs. Atlético / GO
Oeste / SP vs. Red Bull Bragantino / SP
Oeste / SP vs. Sport / PE
Boa / MG vs. Oeste / SP
Boa / MG vs. Figueirense / SC
Boa / MG vs. Joinville / SC
Boa / MG vs. Icasa / CE
Boa / MG vs. ABC / RN
Boa / MG vs. Palmeiras / SP
Boa / MG vs. São Caetano / SP
Boa / MG vs. Guaratinguetá / SP
Boa / MG vs. Paysandu / PA
Boa / MG vs. ASA / AL
Boa / MG vs. América / MG
Boa / MG vs. Avaí / SC
Boa / MG vs. Chapecoense / SC
Boa / MG vs. Ceará / CE
Boa / MG vs. América / RN
Boa / MG vs. Paraná / PR
Boa / MG vs. Atlético / GO
Boa / MG vs. Red Bull Bragantino / SP
Boa / MG vs. Sport / PE
Figueirense / SC vs. Oeste / SP
Figueirense / SC vs. Boa / MG
Figueirense / SC vs. Joinville / SC
Figueirense / SC vs. Icasa / CE
Figueirense / SC vs. ABC / RN
Figueirense / SC vs. Palmeiras / SP
Figueirense / SC vs. São Caetano / SP
Figueirense / SC vs. Guaratinguetá / SP
Figueirense / SC vs. Paysandu / PA
Figueirense / SC vs. ASA / AL
Figueirense / SC vs. América / MG
Figueirense / SC vs. Avaí / SC
Figueirense / SC vs. Chapecoense / SC
Figueirense / SC vs. Ceará / CE
Figueirense / SC vs. América / RN
Figueirense / SC vs. Paraná / PR
Figueirense / SC vs. Atlético / GO
Figueirense / SC vs. Red Bull Bragantino / SP
Figueirense / SC vs. Sport / PE
Joinville / SC vs. Oeste / SP
Joinville / SC vs. Boa / MG
Joinville / SC vs. Figueirense / SC
Joinville / SC vs. Icasa / CE
Joinville / SC vs. ABC / RN
Joinville / SC vs. Palmeiras / SP
Joinville / SC vs. São Caetano / SP
Joinville / SC vs. Guaratinguetá / SP
Joinville / SC vs. Paysandu / PA
Joinville / SC vs. ASA / AL
Joinville / SC vs. América / MG
Joinville / SC vs. Avaí / SC
Joinville / SC vs. Chapecoense / SC
Joinville / SC vs. Ceará / CE
Joinville / SC vs. América / RN
Joinville / SC vs. Paraná / PR
Joinville / SC vs. Atlético / GO
Joinville / SC vs. Red Bull Bragantino / SP
Joinville / SC vs. Sport / PE
Icasa / CE vs. Oeste / SP
Icasa / CE vs. Boa / MG
Icasa / CE vs. Figueirense / SC
Icasa / CE vs. Joinville / SC
Icasa / CE vs. ABC / RN
Icasa / CE vs. Palmeiras / SP
Icasa / CE vs. São Caetano / SP
Icasa / CE vs. Guaratinguetá / SP
Icasa / CE vs. Paysandu / PA
Icasa / CE vs. ASA / AL
Icasa / CE vs. América / MG
Icasa / CE vs. Avaí / SC
Icasa / CE vs. Chapecoense / SC
Icasa / CE vs. Ceará / CE
Icasa / CE vs. América / RN
Icasa / CE vs. Paraná / PR
Icasa / CE vs. Atlético / GO
Icasa / CE vs. Red Bull Bragantino / SP
Icasa / CE vs. Sport / PE
