Paysandu / PA vs. Goiás / GO
Paysandu / PA vs. Guarani / SP
Paysandu / PA vs. Juventude / RS
Paysandu / PA vs. Londrina / PR
Paysandu / PA vs. Boa / MG
Paysandu / PA vs. CRB / AL
Paysandu / PA vs. Ceará / CE
Paysandu / PA vs. Santa Cruz / PE
Paysandu / PA vs. Figueirense / SC
Paysandu / PA vs. Vila Nova / GO
Paysandu / PA vs. Oeste / SP
Paysandu / PA vs. Brasil / RS
Paysandu / PA vs. Paraná / PR
Paysandu / PA vs. América / MG
Paysandu / PA vs. Luverdense / MT
Paysandu / PA vs. Internacional / RS
CRB / AL vs. ABC / RN
CRB / AL vs. Náutico / PE
CRB / AL vs. Criciúma / SC
CRB / AL vs. Goiás / GO
CRB / AL vs. Guarani / SP
CRB / AL vs. Juventude / RS
CRB / AL vs. Londrina / PR
CRB / AL vs. Boa / MG
CRB / AL vs. Paysandu / PA
CRB / AL vs. Ceará / CE
CRB / AL vs. Santa Cruz / PE
CRB / AL vs. Figueirense / SC
CRB / AL vs. Vila Nova / GO
CRB / AL vs. Oeste / SP
CRB / AL vs. Brasil / RS
CRB / AL vs. Paraná / PR
CRB / AL vs. América / MG
CRB / AL vs. Luverdense / MT
CRB / AL vs. Internacional / RS
Ceará / CE vs. ABC / RN
Ceará / CE vs. Náutico / PE
Ceará / CE vs. Criciúma / SC
Ceará / CE vs. Goiás / GO
Ceará / CE vs. Guarani / SP
Ceará / CE vs. Juventude / RS
Ceará / CE vs. Londrina / PR
Ceará / CE vs. Boa / MG
Ceará / CE vs. Paysandu / PA
Ceará / CE vs. CRB / AL
Ceará / CE vs. Santa Cruz / PE
Ceará / CE vs. Figueirense / SC
Ceará / CE vs. Vila Nova / GO
Ceará / CE vs. Oeste / SP
Ceará / CE vs. Brasil / RS
Ceará / CE vs. Paraná / PR
Ceará / CE vs. América / MG
Ceará / CE vs. Luverdense / MT
Ceará / CE vs. Internacional / RS
Santa Cruz / PE vs. ABC / RN
Santa Cruz / PE vs. Náutico / PE
Santa Cruz / PE vs. Criciúma / SC
Santa Cruz / PE vs. Goiás / GO
Santa Cruz / PE vs. Guarani / SP
Santa Cruz / PE vs. Juventude / RS
Santa Cruz / PE vs. Londrina / PR
Santa Cruz / PE vs. Boa / MG
Santa Cruz / PE vs. Paysandu / PA
Santa Cruz / PE vs. CRB / AL
Santa Cruz / PE vs. Ceará / CE
Santa Cruz / PE vs. Figueirense / SC
Santa Cruz / PE vs. Vila Nova / GO
Santa Cruz / PE vs. Oeste / SP
Santa Cruz / PE vs. Brasil / RS
Santa Cruz / PE vs. Paraná / PR
Santa Cruz / PE vs. América / MG
Santa Cruz / PE vs. Luverdense / MT
Santa Cruz / PE vs. Internacional / RS
Figueirense / SC vs. ABC / RN
Figueirense / SC vs. Náutico / PE
Figueirense / SC vs. Criciúma / SC
Figueirense / SC vs. Goiás / GO
Figueirense / SC vs. Guarani / SP
Figueirense / SC vs. Juventude / RS
Figueirense / SC vs. Londrina / PR
Figueirense / SC vs. Boa / MG
Figueirense / SC vs. Paysandu / PA
Figueirense / SC vs. CRB / AL
Figueirense / SC vs. Ceará / CE
Figueirense / SC vs. Santa Cruz / PE
Figueirense / SC vs. Vila Nova / GO
Figueirense / SC vs. Oeste / SP
Figueirense / SC vs. Brasil / RS
Figueirense / SC vs. Paraná / PR
Figueirense / SC vs. América / MG
Figueirense / SC vs. Luverdense / MT
Figueirense / SC vs. Internacional / RS
Vila Nova / GO vs. ABC / RN
Vila Nova / GO vs. Náutico / PE
Vila Nova / GO vs. Criciúma / SC
Vila Nova / GO vs. Goiás / GO
Vila Nova / GO vs. Guarani / SP
Vila Nova / GO vs. Juventude / RS
Vila Nova / GO vs. Londrina / PR
Vila Nova / GO vs. Boa / MG
Vila Nova / GO vs. Paysandu / PA
Vila Nova / GO vs. CRB / AL
Vila Nova / GO vs. Ceará / CE
Vila Nova / GO vs. Santa Cruz / PE
Vila Nova / GO vs. Figueirense / SC
Vila Nova / GO vs. Oeste / SP
Vila Nova / GO vs. Brasil / RS
Vila Nova / GO vs. Paraná / PR
Vila Nova / GO vs. América / MG
Vila Nova / GO vs. Luverdense / MT
Vila Nova / GO vs. Internacional / RS
Oeste / SP vs. ABC / RN
Oeste / SP vs. Náutico / PE
Oeste / SP vs. Criciúma / SC
Oeste / SP vs. Goiás / GO
Oeste / SP vs. Guarani / SP
Oeste / SP vs. Juventude / RS
Oeste / SP vs. Londrina / PR
Oeste / SP vs. Boa / MG
Oeste / SP vs. Paysandu / PA
Oeste / SP vs. CRB / AL
Oeste / SP vs. Ceará / CE
Oeste / SP vs. Santa Cruz / PE
Oeste / SP vs. Figueirense / SC
Oeste / SP vs. Vila Nova / GO
Oeste / SP vs. Brasil / RS
Oeste / SP vs. Paraná / PR
Oeste / SP vs. América / MG
Oeste / SP vs. Luverdense / MT
Oeste / SP vs. Internacional / RS
Brasil / RS vs. ABC / RN
Brasil / RS vs. Náutico / PE
Brasil / RS vs. Criciúma / SC
Brasil / RS vs. Goiás / GO
Brasil / RS vs. Guarani / SP
Brasil / RS vs. Juventude / RS
Brasil / RS vs. Londrina / PR
Brasil / RS vs. Boa / MG
Brasil / RS vs. Paysandu / PA
Brasil / RS vs. CRB / AL
Brasil / RS vs. Ceará / CE
Brasil / RS vs. Santa Cruz / PE
Brasil / RS vs. Figueirense / SC
Brasil / RS vs. Vila Nova / GO
Brasil / RS vs. Oeste / SP
Brasil / RS vs. Paraná / PR
Brasil / RS vs. América / MG
Brasil / RS vs. Luverdense / MT
Brasil / RS vs. Internacional / RS
Paraná / PR vs. ABC / RN
Paraná / PR vs. Náutico / PE
Paraná / PR vs. Criciúma / SC
Paraná / PR vs. Goiás / GO
Paraná / PR vs. Guarani / SP
Paraná / PR vs. Juventude / RS
Paraná / PR vs. Londrina / PR
Paraná / PR vs. Boa / MG
Paraná / PR vs. Paysandu / PA
Paraná / PR vs. CRB / AL
Paraná / PR vs. Ceará / CE
Paraná / PR vs. Santa Cruz / PE
Paraná / PR vs. Figueirense / SC
Paraná / PR vs. Vila Nova / GO
Paraná / PR vs. Oeste / SP
Paraná / PR vs. Brasil / RS
Paraná / PR vs. América / MG
Paraná / PR vs. Luverdense / MT
Paraná / PR vs. Internacional / RS
América / MG vs. ABC / RN
América / MG vs. Náutico / PE
América / MG vs. Criciúma / SC
América / MG vs. Goiás / GO
América / MG vs. Guarani / SP
América / MG vs. Juventude / RS
América / MG vs. Londrina / PR
América / MG vs. Boa / MG
América / MG vs. Paysandu / PA
América / MG vs. CRB / AL
América / MG vs. Ceará / CE
América / MG vs. Santa Cruz / PE
América / MG vs. Figueirense / SC
América / MG vs. Vila Nova / GO
América / MG vs. Oeste / SP
América / MG vs. Brasil / RS
América / MG vs. Paraná / PR
América / MG vs. Luverdense / MT
América / MG vs. Internacional / RS
Luverdense / MT vs. ABC / RN
Luverdense / MT vs. Náutico / PE
Luverdense / MT vs. Criciúma / SC
Luverdense / MT vs. Goiás / GO
Luverdense / MT vs. Guarani / SP
Luverdense / MT vs. Juventude / RS
Luverdense / MT vs. Londrina / PR
Luverdense / MT vs. Boa / MG
Luverdense / MT vs. Paysandu / PA
Luverdense / MT vs. CRB / AL
Luverdense / MT vs. Ceará / CE
Luverdense / MT vs. Santa Cruz / PE
Luverdense / MT vs. Figueirense / SC
Luverdense / MT vs. Vila Nova / GO
Luverdense / MT vs. Oeste / SP
Luverdense / MT vs. Brasil / RS
Luverdense / MT vs. Paraná / PR
Luverdense / MT vs. América / MG
Luverdense / MT vs. Internacional / RS
Internacional / RS vs. ABC / RN
Internacional / RS vs. Náutico / PE
Internacional / RS vs. Criciúma / SC
Internacional / RS vs. Goiás / GO
Internacional / RS vs. Guarani / SP
Internacional / RS vs. Juventude / RS
Internacional / RS vs. Londrina / PR
Internacional / RS vs. Boa / MG
Internacional / RS vs. Paysandu / PA
Internacional / RS vs. CRB / AL
Internacional / RS vs. Ceará / CE
Internacional / RS vs. Santa Cruz / PE
Internacional / RS vs. Figueirense / SC
Internacional / RS vs. Vila Nova / GO
Internacional / RS vs. Oeste / SP
Internacional / RS vs. Brasil / RS
Internacional / RS vs. Paraná / PR
Internacional / RS vs. América / MG
Internacional / RS vs. Luverdense / MT
